종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
290090,트윔,IT,10315.0,40.14,1.4,360.0,0.0,0.0,16.0,-63.0,-54.0,-11.5,-12.5,1.45,53157.0
258610,케일럼,IT,2977.0,0.0,1.07,0.0,0.0,0.0,155.0,-11.0,-12.0,-6.8,-10.5,0.65,53152.0
094860,네오리진,IT,423.0,0.0,1.37,0.0,0.0,0.0,90.0,-11.0,-15.0,-11.9,-15.5,1.0,53132.0
219130,타이거일렉,IT,8158.0,38.1,2.34,500.0,0.0,0.0,158.0,25.0,29.0,12.4,16.9,0.98,52926.0
080420,모다이노칩,IT,4454.0,21.88,0.71,144.0,0.0,0.0,1136.0,165.0,120.0,2.8,7.2,1.2,52736.0
193250,와이제이엠게임즈,IT,1276.0,0.0,1.06,0.0,0.0,0.0,62.0,-9.0,-1.0,1.0,1.5,1.03,52719.0
302430,이노메트리,IT,5459.0,24.13,1.75,395.0,0.0,0.0,165.0,-19.0,-14.0,-2.9,-3.8,1.1,52478.0
110990,디아이티,IT,9224.0,0.0,0.66,0.0,0.0,0.0,458.0,36.0,47.0,1.2,2.1,1.1,52136.0
052900,KX하이텍,IT,1998.0,12.65,0.65,102.0,0.0,0.0,379.0,36.0,44.0,8.8,16.2,1.37,51948.0
089530,에이티세미콘,IT,1320.0,0.0,0.97,0.0,0.0,0.0,365.0,-124.0,-201.0,-36.5,-109.5,1.09,51407.0
134580,탑코미디어,IT,2180.0,0.0,2.67,0.0,0.0,0.0,43.0,14.0,13.0,1.7,3.5,0.91,51223.0
