매출액,영업이익,당기순이익,ROA,ROE,베타
486.0,67.0,55.0,7.9,8.7,0.72
-,-96,-74,-31.4,-50.0,1.35
103.0,11.0,83.0,13.8,39.1,1.01
213.0,24.0,-4.0,1.0,1.9,0.8
219.0,54.0,40.0,37.3,47.2,0.8
55.0,7.0,10.0,8.2,15.6,1.08
241.0,31.0,50.0,14.6,17.3,1.21
18.0,-11.0,-21.0,-7.1,-8.2,1.05
1719.0,184.0,121.0,6.3,11.6,0.39
10.0,-41.0,-37.0,-15.1,-19.2,0.76
312.0,33.0,2.0,-0.2,-0.1,0.87
78.0,5.0,17.0,5.7,5.7,0.79
872.0,101.0,65.0,5.4,6.5,0.52
29.0,-17.0,-22.0,-13.4,-19.6,1.19
13.0,-67.0,-107.0,-34.7,-41.7,1.49
11.0,-31.0,-99.0,3.1,3.9,0.77
141.0,-52.0,-99.0,-16.0,-37.0,1.07
2244.0,-84.0,-104.0,-1.2,-0.2,0.67
221.0,-31.0,-92.0,-13.6,-43.0,0.79
409.0,33.0,24.0,10.3,20.1,0.79
104.0,-5.0,-19.0,-9.5,-21.3,1.17
9.0,-50.0,-34.0,-30.8,-41.9,0.64
,-28.0,-22.0,,,1.72844
228.0,91.0,138.0,54.4,77.7,1.2
10.0,-37.0,-34.0,-16.9,-20.1,1.58
55.0,18.0,10.0,12.6,13.6,1.2
,-40.0,-42.0,-33.3,-52.3,1.37
396,-,-4,0.6,1.2,0.74
13.0,-45.0,-66.0,-17.6,-22.1,1.38
241.0,11.0,-3.0,2.1,3.5,1.03
229.0,-23.0,-15.0,-5.4,-12.9,0.42
330.0,23.0,7.0,2.5,2.8,0.91
152.0,-6.0,35.0,2.2,2.3,0.63
1321.0,61.0,-16.0,-0.3,-0.7,0.7
,-86.0,-169.0,-23.3,-60.8,1.17
47.0,-36.0,-73.0,-38.7,-85.8,1.47
145.0,45.0,47.0,19.8,23.3,1.09
-,-27,-40,-32.4,-122.5,0.94
317.0,76.0,54.0,16.5,25.8,0.99
121.0,14.0,24.0,8.0,12.5,1.06
1718.0,-287.0,423.0,-18.6,-143.6,0.76
142.0,22.0,60.0,11.3,25.1,1.17
,-41.0,-42.0,-14.8,-16.5,1.45
242.0,-22.0,-42.0,-10.0,-34.1,1.07
781.0,88.0,60.0,10.6,18.5,0.58
370.0,59.0,46.0,7.6,11.2,0.99
403.0,-4.0,-12.0,1.4,1.6,0.72
236.0,83.0,71.0,21.8,24.1,1.25
7.0,-115.0,-116.0,-75.8,-81.9,0.99
462.0,28.0,25.0,5.3,7.8,1.02
1697.0,204.0,102.0,3.6,3.0,0.7
1947.0,-23.0,-20.0,-3.0,-6.9,1.05
78.0,30.0,34.0,28.8,32.2,0.55
198.0,39.0,-56.0,-1.9,-3.1,0.06
39.0,-48.0,-47.0,-20.5,-31.1,1.12
2053.0,171.0,19.0,3.1,13.7,0.72
347.0,11.0,125.0,52.1,83.7,0.66
23.0,-6.0,-3.0,-22.9,-28.3,1.32
1.0,-28.0,32.0,7.8,17.0,1.54
511.0,74.0,59.0,7.6,9.4,0.56
360.0,20.0,23.0,4.4,4.7,0.75
471.0,70.0,29.0,6.5,11.5,0.68
1.0,-15.0,-20.0,-11.0,-18.6,0.29
7.0,-68.0,-79.0,-25.8,-35.5,1.07
327.0,153.0,138.0,20.2,30.4,0.74
44.0,8.0,7.0,6.5,7.4,1.07
490.0,44.0,11.0,4.3,6.9,1.14
122.0,10.0,4.0,-0.8,-0.9,0.7
464.0,84.0,69.0,9.5,12.6,0.71
412.0,26.0,24.0,4.1,8.1,0.51
143.0,20.0,4.0,1.5,3.1,1.09
73.0,-6.0,21.0,-0.2,-4.5,1.19
97.0,6.0,1.0,0.4,2.9,1.56
39.0,-103.0,-101.0,-34.5,-61.2,0.5
4.0,-49.0,-47.0,-34.2,-37.8,1.16
127.0,3.0,99.0,39.4,132.2,0.61
202.0,21.0,9.0,2.3,5.1,0.81
367.0,-40.0,-49.0,-4.1,-7.7,0.81
85.0,13.0,19.0,11.7,13.9,1.04
222.0,23.0,20.0,-0.1,-0.2,1.09
1.0,-73.0,-126.0,-31.7,-40.9,1.3
310.0,-7.0,-9.0,0.8,2.1,1.18
172.0,-13.0,-13.0,-9.3,-16.0,0.88
22.0,3.0,4.0,0.6,0.6,1.22
222.0,-15.0,-66.0,-7.3,-14.1,0.74
14.0,-25.0,3.0,-9.3,-23.8,0.81
28.0,-2.0,2.0,8.9,9.7,0.85
506.0,56.0,33.0,18.8,33.7,0.81
238.0,33.0,30.0,9.1,36.4,0.74
1.0,-27.0,-47.0,-41.8,-51.1,1.61
222.0,45.0,41.0,14.1,17.7,0.61
