종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"009410","태영건설","KOSPI","건설업","6220","-40","-0.64","241952389560"
"009415","태영건설우","KOSPI","건설업","9330","0","0.00","12148984860"
"001420","태원물산","KOSPI","운수장비","4745","-85","-1.76","36062000000"
"007980","태평양물산","KOSPI","섬유의복","1725","-5","-0.29","83058037575"
"055490","테이팩스","KOSPI","화학","76100","-1700","-2.19","359013165000"
"078000","텔코웨어","KOSPI","서비스업","9680","-10","-0.10","93922194080"
"214420","토니모리","KOSPI","화학","4450","95","2.18","107043855550"
"019180","티에이치엔","KOSPI","전기전자","3405","45","1.34","61290000000"
"363280","티와이홀딩스","KOSPI","기타금융","16500","-50","-0.30","840332922000"
"36328K","티와이홀딩스우","KOSPI","기타금융","15950","100","0.63","20022641100"
"091810","티웨이항공","KOSPI","운수창고업","2045","0","0.00","327875420555"
"004870","티웨이홀딩스","KOSPI","비금속광물","520","1","0.19","56925526840"
"005690","파미셀","KOSPI","의약품","12850","650","5.33","770472507500"
"036580","팜스코","KOSPI","음식료품","5170","60","1.17","189883465310"
"004720","팜젠사이언스","KOSPI","의약품","7200","-190","-2.57","113982408000"
"028670","팬오션","KOSPI","운수창고업","5030","30","0.60","2688884645360"
"010820","퍼스텍","KOSPI","기계","3675","-155","-4.05","176625865500"
"016800","퍼시스","KOSPI","기타제조업","30250","0","0.00","347875000000"
"001020","페이퍼코리아","KOSPI","종이목재","2000","145","7.82","95133620000"
"090080","평화산업","KOSPI","운수장비","1575","-85","-5.12","86471057925"
"010770","평화홀딩스","KOSPI","운수장비","3350","-15","-0.45","48995311100"
"058430","포스코스틸리온","KOSPI","철강금속","35600","-250","-0.70","213600000000"
"047050","포스코인터내셔널","KOSPI","유통업","25800","-250","-0.96","3183078844200"
"003670","포스코케미칼","KOSPI","비금속광물","164500","1500","0.92","12742699690000"
"017810","풀무원","KOSPI","음식료품","13150","-50","-0.38","501285127300"
"103140","풍산","KOSPI","철강금속","29300","-350","-1.18","821111345400"
"005810","풍산홀딩스","KOSPI","기타금융","28200","-200","-0.70","293548689600"
"950210","프레스티지바이오파마","KOSPI","서비스업","11100","-200","-1.77","667067320500"
"009810","플레이그램","KOSPI","유통업","1340","180","15.52","120220868440"
"086790","하나금융지주","KOSPI","기타금융","37700","200","0.53","11155561045200"
"293480","하나제약","KOSPI","의약품","16450","-50","-0.30","292364961700"
"039130","하나투어","KOSPI","서비스업","56000","-1600","-2.78","898194360000"
"352820","하이브","KOSPI","서비스업","168500","2000","1.20","6968045709500"
"071090","하이스틸","KOSPI","철강금속","3940","-165","-4.02","78797793600"
"019490","하이트론","KOSPI","전기전자","2470","0","0.00","23739723280"
"000080","하이트진로","KOSPI","음식료품","29600","-550","-1.82","2075954885600"
"000087","하이트진로2우B","KOSPI","음식료품","18350","0","0.00","20738032300"
"000140","하이트진로홀딩스","KOSPI","기타금융","11650","150","1.30","270358812250"
"000145","하이트진로홀딩스우","KOSPI","기타금융","14500","0","0.00","6826745000"
"152550","한국ANKOR유전","KOSPI","기타금융","1625","5","0.31","113782500000"
"036460","한국가스공사","KOSPI","전기가스업","42550","450","1.07","3927918150000"
